gss,turnout,name
E05010857,39,Beauchief & Greenhill
E05010858,28,Beighton
E05010859,29,Birley
E05010860,32,Broomhill & Sharrow Vale
E05010861,37,Burngreave
E05010862,20,City
E05010863,47,Crookes & Crosspool
E05010864,33,Darnall
E05010865,47,Dore & Totley
E05010866,33,East Ecclesfield
E05010867,49,Ecclesall
E05010868,29,Firth Park
E05010869,43,Fulwood
E05010870,30,Gleadless Valley
E05010871,41,Graves Park
E05010872,38,Hillsborough
E05010873,23,Manor Castle
E05010874,30,Mosborough
E05010875,47,Nether Edge & Sharrow
E05010876,27,Park & Arbourthorne
E05010877,26.4,Richmond
E05010878,29,Shiregreen & Brightside
E05010879,28,Southey
E05010880,39,Stannington
E05010881,35,Stocksbridge & Upper Don
E05010882,35,Walkley
E05010883,34,West Ecclesfield
E05010884,28,Woodhouse
